course_title/users,Ramesh,Ritesh,Rohit,Divya,Pooja,Ravi,Mansi,Hitesh,Tejas,Sonal,Rahul,Sourabh
Crie seu Cartão de Visita no CorelDRAW X8,,,,,1,,1,0,,0,,
Curso de Maya 3D,,0,,1,,,,,,,,
Photoshop: Organización de eventos y decoración de fiestas,,1,,0,,,,,,,,
Podcast Cover Art | Design Like the Best,,,,,,,,,,,,
Learn Drawing and Painting a Landscape with Oil Colours,,,0,,,,1,,,,,
Enhance your chroma key with an animated Slides background,,,,,,,,,,0,,
The Complete Motion Graphic Course,,,,,,,,,,0,,
Making Corporate Flyers in Photoshop,1,,,,1,,,,,,,
Rock-Solid Brands,,,,,,,,,,,,
Typographic Poster Design - From Sketch to Vector,,,1,,,,,,1,,0,
"Make Money With Photoshop: Logos, Business Cards & Brochures",1,,,,0,,1,,,,,
Photoshop the Art of Clipart,,,,,,0,,,,,,
Adobe Illustrator Creative Cloud:  Mastering the Upgrades,,,,,1,,,,1,,,
Illustrator 101: Learn Quickly and Easily to create Artwork,,,,0,,,1,,1,1,1,1
Design Your Own Fonts. Plus A Bunch Of Typography Secrets.,,,,,,,,,,,,
Easy Steps To Become A Photoshop Expert,,,1,,,,,,,,0,
Intro to Adobe Illustrator,0,,,,,,0,,,,,
Beginners Guide: Photoshop Poster/Artwork,0,,1,,,,1,,,,,
Basic Graphic Design for PowerPoint,,1,,,1,,1,,,0,,
Master Graphic Design Using Photoshop with Rachael,,,,0,,,1,,,,,
Adobe Illustrator CC - Print Design for Beginners,1,,1,1,,,,,,,0,
Adobe Illustrator | Master in 3D,,,,,,,1,,,1,,
From Drawing to Illustration,0,,,,,,,,1,,,
Adobe Suite : Unleash your creativity & benefit from it !,1,,,0,,,,,,,,0
Become a Logo Designer: Guide to Complimentary Logo Software,,,,,,,,,,,,
DIY Beautiful Social Graphics That Don't Require Photoshop,,,,,0,,,,,,,
Design while you learn InDesign CC,0,,,,,,,,,,,
R Graph Essentials,,,1,,0,,,,,,,
Car Sketching with Simple Analog Tools,1,1,,1,,,,1,0,,,
Drawing Anime & Manga Style,,,,,,,,,,,0,
Inkscape 101 for Beginners - Design Vector Graphics,,0,,0,,1,,,,,1,
"How to Fix Common Branding Mistakes, for Graphic Designers",,,,,,,,,,,1,
AutoCAD Course - Learn Online AutoCAD in Urdu Hindi,1,,,0,0,,,,1,,1,0
Mind-Blowing Photoshop: Master Skills Season 1,,,,0,,0,,,,,1,
Architectural Drawing For Creatives,,,,,,,,,0,,,
Adobe Photoshop (Complete Beginner),,,,,,,,,,,,
Character Design,,,1,,0,,,,,,,
Icon Design Masterclass: Learn Icon Design Principles,,,,,,0,,,,,,
create stunning Photoshop compositions in minutes,0,,1,1,,,,,,,,
Marvelous Logo Design,,,,,,0,,,,,,
Canva Complete Course For Graphics Design | 20 Projects,,,,0,0,,,,0,0,1,
The Complete Video Production Guide - Learn Top Video Tools,,,,,,,,0,,,1,1
Drawing With Confidence,,1,,,0,0,0,,0,0,,
Add realistic car paint to your pencil drawing in Photoshop!,,1,1,,,,,,,,,1
T-Shirt Sales - Merch By Amazon Profit Formula With Canva,,,,,1,,,,,,,
Learn print production from start to finish,1,0,,,,,,,0,,0,1
Step by Step Gif animation in Photoshop,,,,,,,1,,,,,
Adobe - Create a professional logo step-by-step (Farming),,,0,,,,,,1,,,
Adobe Illustrator CC Advanced,,,,,,1,,,0,,,
Mastering Realistic Real Life Drawing with Pencil,,0,,0,,,,,,,1,
Silhouettes that Sells,,,,,,,,,,,,
FullPage: The Complete Guide to Flat Websites,,,,,,0,,,1,,,
How to design professional PowerPoint business presentation,,,0,0,,0,0,,,,,
Pic Monkey for Beginners - Graphic Design and Photo Editing,1,,,,,,,,,0,,
Corel Painter 2016,0,,,,,,,,1,,,
eBook Cover Design,,,,1,,,1,,,,0,
"Photoshop tips and tricks, how to change clothes",,1,,,,,,,1,,0,
How to make Better Compositions: Take your art to new height,,1,,,0,,,,,,1,
Adobe Photoshop CC | The Essential Guide,,,,,,1,,,,,0,0
Learn to Composite a 2D Action Shot in Photoshop,,,,,,1,0,,,1,,
Infographic Design: How To Create Your Own Infographic,,,,1,,,,1,0,,,
Autodesk Inventor 2016 : Complete Guide ,,,0,1,,,,1,,1,,1
Amazing Graphic Design for Beginners,,,,,,,,,,,,
"7 Ways A Beginner Guitarist Can Sound Better, Instantly!",,,,,,,,,,,,
Instant Harmonica - Christmas. Play Jingle Bells Part 1 now,,,,,,1,,,,0,1,
Playing Piano:  Popular Pieces Vol. II,,,,1,,1,,0,,,,
Ninja Chord Changes - Master your guitar chord changes,,1,,1,,,,,,,,
Your First 10 Guitar Lessons - Learn how to play guitar,,,,,,,,,1,,,
Pentatonic Scale Crash Course for Bass Guitar,,,,,1,,,,,,,
Modal Theory for Guitar (Guitar Lessons from Lutz Academy),,,,,,0,,,,,,
Learn Fun Dreamy Piano Techniques #1 -  Play White Christmas,,,0,,,,0,,,,,
Learn Jazz Piano Today,,,,,,,,,,,,
Learn To Play The Drums Without A Drum Kit,,,,,,,1,,,1,,
Learn Travis Picking From Scratch,,,,0,,,0,,,,,
Instant Harmonica - how to get single notes in 5 easy steps,,,0,,,,,,0,1,,
Piano Runs & Fills #3:  Jazzy Chromatic Chord Song Endings,,,,,,,,,,,,
Teaching Music : Start teaching an instrument successfully.,0,,,1,,,1,,0,,0,0
Strumming from scratch - Rhythm guitar lesson for Beginners,,,,,,,,,1,1,,
Blues Guitar Lessons - From Texas To Carolina,1,0,,,,,,,,,,
Instant Harmonica - play the groovy Beatles Yesterday today!,,0,,,,1,,,,,,
Beginner Guitar Quick-Start Course,,,,,,,1,,0,,1,
Mike G's Beginner Drum Course: Part 1,,,,1,,,,,,1,,
Guitar for Beginners - Learn the Basics,,1,,1,,,,,0,1,0,
How To Play The Djembe: For Beginners,,,0,,,,,,,1,,
Blues Guitar Lessons - Volume 1 - Blues Shuffle Essentials,,,,,,,0,1,,,,0
Beginner Guitar - 38 Easy Lessons You Needs to Get Started,,0,0,,,,,,,0,,
Bass Guitar Lessons For Beginners,,,0,,,,1,,,,,
Pure Pentatonic Power: Rock and Blues Guitar Soloing,,,,,,,,,,1,,
Rock Drumset Grooves: Level 1,,,,,,,0,0,1,,,1
Guitar: The Next Level,1,,0,,,,0,,,,,
Learn to Play Euphonium: Beginner to Pro in Under Five Hours,1,,1,,,,,,,,,
Learn Oud 1 (No Prior Music Knowledge Required!),1,,,,1,,,,,,,
Instant Harmonica - play Dylan's Blowing in the Wind today!,,,,,,1,,,1,,,
Improvise On The Piano In 30 Minutes,,,,,0,1,,,,,,0
Cajon Step-by-Step: Beginner > Intermediate > Advanced,,,,,,0,,,1,,,
Blues Guitar Lessons - Volume 2 - Slow Blues Essentials,,,,0,,,,1,,,,
Instant Harmonica - play the gorgeous Skye Boat Song now!,,,,,,,,0,,,,1
Learn to Play Trombone: Go From Beginner to Pro in No Time!,,,,,0,,0,,,,,
FingerstyleGuitar by Jacques Stotzem - Basic Level,1,,,,,,0,,,0,0,
Instant Harmonica - play two Star Wars themes in 30 minutes ,,,,,1,,,,,,,
Play Piano To-day! - Beginner Piano Lessons For Busy People!,,,,,0,,0,,,,0,
Learn to Play the Flute: Beginner to Pro in Under Five Hours,0,,,,,,,,0,,,
Play Piano 7: Improvise on For All We Know in F Key by Ear,,,,,,,,,0,,,
World's Fastest Piano Method - The Piano Revolution!,,,,,,,1,,,,,1
Learn to Play the Trumpet: Beginner to Pro Made the Easy Way,,,,1,,1,,0,,,,1
Learn to Play Clarinet: Beginner to Pro in Under Five Hours,,,,1,,,,,,,,
"Learn To Play The Piano Using Pop, R&B and Gospel Chords",,,1,,,1,1,,,1,,
Play By Ear #4: Play Song By Ear with 3 Chords Using Any Key,,,,,,0,,1,0,0,,
Worship Piano: From Beginner to Pro,0,,,,,,,,,0,,0
Easy to play Christmas Songs for Guitar,,,,,,1,1,,,1,,
Ultimate Blues Guitar Beginner Lessons,,,,,,,,,1,,,
How to Play Piano - Your First Lesson!,,,,,,,,,,,,
Playing Piano : Reading and Playing Classical Tunes Vol.I,,,,1,,,,,1,,,
Blues School! A Course For Beginners in Blues Piano & Improv,,1,,,,,1,,,,,1
Learn Fun Dreamy Piano Techniques # 2 - Play Silver Bells,,,,,,,,1,,,,
31 Day Guitar Challenge,1,,,,0,,,,,,,
Percussive Fingerstyle Guitar,,,1,,,,1,,,,,
Learn to Play Saxophone: Beginner to Pro in Under Four Hours,,,,,,0,,,,,0,
"Learn BASS GUITAR- Have Fun, Amaze Your Friends- It's Easy! ",,,,,,,,,,,,
Guitar Insanity Workout - Eatmystrings!,,0,1,,0,,,,,,,
Playing Piano:  Play Chords and Popular Pieces Vol.I,,,1,0,,,,,,,,
Guitar Chord Riot! Learn to Play Guitar Like a Guitar Jedi,,0,,,,,,,,,,0
Guitar: Learn 12 Must Know Beginner Rock Guitar Riffs,,,,,,0,,,,,,
Guitar Fretboard Mastery for the Blues Guitarist,,1,1,,,1,,,,,,
Quick & Easy Piano Chords: Play more songs with more chords,,,,,0,,,,,,,
Instant Harmonica - play Scarborough Fair in 8 easy lectures,,,1,,,,0,,,,0,
Piano With Willie: Blues n' Boogie Vol. 2,,1,,,,,,0,,,,1
Have Fun with Beginner Blues Piano,0,,0,,,,,,,,,0
Learn to Play Harp: Beginners Course,,1,0,,,,0,,,,1,
Instant Harmonica - play this classic 8 bar blues tune!,,,0,,,,,,,0,,
Guitar Lessons - Learning The Neck - Fretboard Mastery,,,,,,0,,,,,,
Take your double bass drum technique to the next level,,,0,0,,,,,1,,,
How To Play The Cajon: For Beginners,0,0,0,,,,1,1,,,,
Slide Guitar- Slide Soloing Essentials,,,,1,1,,,,,,,
Learn Piano #8:  Use Augmented Chord Sub & Whole Tone Scales,0,1,,,0,1,,,,,,
Learn Acoustic Guitar for Worship,,,,,0,,,,,,,1
Learn 3 - All Time A R Rahman Hits on Carnatic Flute!,0,,0,,,,,,0,0,,
Guitar Lessons: The Essential Beginner & Intermediate Course,,,,,,0,,,0,,,0
Instant Harmonica - play the groovy Irish Washerwoman now!,,0,,,0,,,,,,,
Music Fundamentals: Learn Beatmaking with Pen Tapping,,,,,,0,,,,,,0
"Learn to Play Fernando Sor's 'Study in B minor"",https://www.udemy.com/study-in-b-minor/,true,115,1403,5,9,Intermediate Level,43 mins,2014-01-27T20:58:16Z
398746,Piano: The Chord Based System - Learn To Play As The Pros Do""",,,,,,,,0,0,,,
Beginner Guitar Lessons by Paul Gronow,,,,,1,,,,,,,
Guitar Fretboard Secrets,,,,,,,,,,,,
Learn to Play French Horn: Beginner to Pro Made the Easy Way,,,1,1,,1,0,,,,,
150 Rock Guitar Licks You MUST Know,,0,,,,1,,,,,,1
Didgeridoo - from zero to HERO! Part One - beginning,,,,,,,,,0,,,1
Learn Piano Scales: Play any song in any key! Like Pro's do,,,,,,,,,,0,0,1
Instant Harmonica - play the groovy Valens La Bamba now!,0,,0,1,,,,,,,,
Blues Master - Beginner's Techniques Piano Course,,,,0,,,,,,1,,1
"How to play Djembe, Drums & Rhythm. Level 2",,,0,,,,,,,,,
Instant Harmonica - play Amazing Grace with grace and ease!,,,,,0,,,,,1,1,
Instant Harmonica - play Amazing Grace + Ode to Joy now!,,,,0,,,0,,,,1,
Play Thousands of Songs On The Guitar | Cheater Chords,,,,,,,,,,,,
Piano Improvisation from Day One,,,,,,,,,,0,,
Classical Guitar Essentials - The Basics Part 1,,,,0,,,,,0,,,
Learn Piano #7- Learn Chromatic Chords & Chromatic Scale Run,,1,,,1,1,,,,1,,
Play all major scales by ear - no notation required!,,0,,,,,,0,,1,,
How to play in a local Irish music session with confidence,,,0,,,,,,,1,,
The Total Beginner's Guitar Course,,,,,,1,,,0,,1,
Virtual Piano Lessons - A New Way To Learn Piano,,,,,,,,,,,,0
16 Guitar Chords to Jam With - (Beginner - Intermediate),,,,,1,,,,,,,
Free Beginner Electric Guitar Lessons,1,,,,,,,0,,,1,
101 Awesome Rockabilly Guitar Licks,,,,,,0,,0,0,,,
A beginner`s guide to fingerpicking and strumming guitar',,,,,,,,,,,,
"Instant Harmonica - Basic 12 Bar Blues course, easy and fun!",1,1,,,1,0,,1,,,,0
Your First Course on Piano,,0,,,,1,,,1,,1,
Acoustic Guitar Basics,,,0,,,0,,,,,,
Cracking the Violin Code!,,,,,0,,,,,,,
Instant Bodhran - part one; learn the basics of drumming now,,,,,,,,,,,,
"Play The Piano By Ear | Master Class, Learn By Doing",,,,,,,,1,1,,,0
Discover Classical Guitar Level 2   ,1,,0,0,,,,,,,,1
Fingerpicking Classics - Great songs played fingerstyle!,,,,,,,1,,,,,
6 Must Know Tricks to Successful Solos,,,,1,,,,,0,,,0
CAGED System for Guitar (Guitar Lessons from Lutz Academy),1,,,,,,0,,0,0,,
Learn the Violin - No Music Experience Necessary!,,1,,,0,,,,,0,,
Your Second Course on Piano: Two Handed Playing,,1,,,,,,,,,0,
How to Design Your Own Guitar,,,,,,0,,,,,,
How To Play Blues Guitar - Broonzy & McGhee Blues Lessons,,,,,1,,,1,,1,,
Play Sonny Terry style on Harmonica and dazzle your friends!,,1,,,,1,,,,,1,
Blues and Advanced Guitar Lessons,,,,,,,,,,1,,
Learn basics of South Indian Carnatic Flute Step by Step ,0,0,0,,,,,,,1,,
Basic Piano Hymn Playing,,,,,,,,,,,,
#1 Piano Hand Coordination: Play 10th Ballad in Eb Key songs,,,,,,,0,,0,,,
Piano Music Theory (Back To Basics) by JFilt,,,,,,0,,,,,0,
Guitar - 12  Strumming Patterns You Must Know For Guitar,,,,,,,,,,,,
Guitar Lessons for complete beginners - super simple and fun,,1,,,,,0,,0,,,1
CAGED Pentatonic System for Guitar - Level 3,1,,,1,,0,1,,1,,,
Classical Guitar Essentials - The Basics Part 2,,,,1,,,,,,,,
Introduction to Piano - By PGN Piano!,,,,,,,,1,,,,
Keyboard Instruments - Read Sheet Music for Piano Fast!,,1,1,,0,,,0,,,1,
How to Play the Guitar: Your 30-Day Guide to Learn Guitar,,0,,,,0,,,,,,
Drumming Accelerator: How To Get The Best Start Possible,0,,,,,,,0,,0,0,
Play Piano 4: Improvise on popular song Yesterday chords,,,,0,,,0,0,,,,
Beginner's Guitar Lessons - Crash Course for Busy Adults,1,,0,,1,,,0,,,,
Getting Started with the Guitar in 5 Days,0,,0,,,1,1,,0,,,
Guitar Lessons - String Bending And Vibrato Essentials,,,,,,,,,,1,,
Piano With Willie: Blues n' Boogie Vol. 1,,,,,,,,0,,,,
Piano Runs & Fills #4: C6 Rolling Waves & Waterfall Runs,0,,,,,1,,,0,,0,1
Chugging - it don't mean a thing if it ain't got that swing!,0,0,,,,1,,,,,1,
Make Your Own Ukulele,1,1,1,,,,,0,,,,
"Beginner Violin 101: Care, Maintenance, and the Right Gear",,,,,,,,,,,,0
Learn How To Play 25 Classic Hip Hop Songs,,,,,,,1,,,,,
Learn Beethoven's Fur Elise on Piano,,,,,,,1,1,,,1,
Play Violin and Fiddle for beginners - it's fun  - Course 1,,1,0,,,,,,,1,,
Piano With Willie Building Technique with Scales Vol. 1,,,,1,1,,,,,1,,
Christmas Piano Songs For The Very Beginner Vol. I,,,1,,,1,0,,,,,0
Introduction to Gypsy Jazz Guitar,,,,,,,,0,,,0,
"Learn How to Play Blues, Rock, & Boogie Woogie Piano Today",,,0,1,,,,,,0,,
The Piano Chord Ladder | Learn to Play Thousands of Songs,,,0,0,,1,,,,,,
Play Piano 5: Improvise on Misty Eb Key Runs & 2-5 Chords,,,,1,,,,,,,,
Playing Piano: Scales and Arpeggios Vol.I : Major keys,,,0,,1,,,,,1,,
Drumming for Beginners - Simple Way To Learn How To Drum,1,,,,,,,,,,,
Get great playing HARMONICA - a fun new leisure time hobby !,,,,,1,,0,,0,,,1
Fingerstyle Guitar Mastery: 3 Techniques You Need To Know,,,,,,,,,,,,
Play Piano 3: Improvise Chords to Enchanted Evening by Ear,,,,0,,,,,,,,
"Jazz Guitar Tips, Tricks and Licks",1,,,1,,,,1,,,,
Piano From Zero To Pro - Beginner Essentials To The Piano,,,,0,,,,,1,,,0
"Piano: Learn 48 chords in 1 hour,  and always remember how",,,,0,,,,,,,,
Walking Bass - Quick Start Guide,,,0,0,,1,,1,,,,
Beginner Guitar Lessons: Learn To Play Guitar Today (WAVE 1),1,,,,,,,,,1,0,
Blues Bass - Quick Start Guide,,,,,,,,,,,0,1
How to speak Pianish (beginner level),0,,,,,,0,,,,,1
Gospel Piano Essentials,,,,,,,,,1,0,1,
Instant Harmonica - play Leonard Cohen's Hallelujah now!,,,1,,1,,,,,,,0
Guitar Crash Course (No Experience Necessary),,,,,,1,,0,,,,
Beginner Guitar Lessons - Your Complete Foundation Course,0,,,,,,,,,,,
Piano Building Blocks: Learn the 24 Most Common Chords,,,,1,1,,,1,,,0,1
Learn to Play the Oboe: Beginner to Pro in Under Four Hours,,,,,0,,0,,,,,
Playing Piano By Ear: Complete Guide for Aspiring Musicians,,,,1,,,,,,,,
"Discover the fun of Spoon playing, a beginners course",1,0,0,,,,,0,,,,
Country Guitar Fundamentals,,,,,,0,,1,,1,,1
Discover Classical Guitar Level 1,1,,,1,0,,,1,,,0,
PI-101 Top 10 Classical Piano Pieces for Beginners,,,,,,,,,,1,,
Get started playing blues harmonica,,,,,,,,,1,0,,
Rockabilly Guitar For Beginners,,,0,0,,,,1,,,,
Beginner Piano,,,,,,,,,,0,,
Step by Step Tabla Course- Indian Drums,,1,,,,1,,,,,,
Play Piano 6 -Improvise on The Way We Were with Power Chords,,,0,,,0,1,,,,,
101 Blues riffs - learn how the harmonica superstars do it,,,,,,,,,1,1,,
Learn To Play The Drums,,,,0,1,,1,,,1,,
Guitar: Master The Guitar Fretboard In 6 Easy Steps,,,,,1,,1,,,,,
Play Piano in 30 Days! - Start Playing NOW!,,,,1,,0,,,1,,0,
Curso de Didgeridoo nivel principiante,0,,,,1,,,,0,,,0
ブルースギター入門,,,,,1,,,,,,1,
Pianoforall - Incredible New Way To Learn Piano & Keyboard,,,,,,,1,,,,,
The Professional Guitar Masterclass,,,,,1,,,,,,,1
Modern Rock Guitar Techniques,,,,,,0,1,,0,,,
Complete Guitar System - Beginner to Advanced,,,,,0,,,,0,,,
Guitar Super System Level 1,,,,,,,,,,0,,
How to play Piano - Go from a Beginner/Intermediate to a Pro,,1,,,,,0,,,,,
Guitar Super System Level 2,,,1,,,,,,,0,,
"LEARN HARMONICA, amaze your friends and have fun - it's easy",,,,0,0,,,,,,,
The Complete Piano & Music Theory Beginners Course,0,0,,,,,1,,,,,
Ultimate Beginner Guitar Masterclass,,,,1,,1,,,1,,,0
Quicklessons Piano Course - Learn to Play Piano by Ear!,,0,1,0,,1,,0,0,,1,
"Learn guitar the Right way! Complete 'KickStarter course""",,,,1,1,,,,,0,1,0
CAGED Pentatonic System for Guitar - Level 1,,1,,,,1,1,,1,,,1
CAGED Pentatonic System for Guitar - Level 2,0,,,,,,,,,,,0
Learn to Play Piano From a Concert Pianist - For Beginners,,1,,,,,,,1,,,
#12 Hand Coordination: Let your Hands dance with Ballad 9,,0,,,,,0,,,,1,
How To Make Money With A Cover Band,,,,,,,1,1,,,,
How To Play Guitar - For Absolute Beginners,,,0,,,,,,0,,,
Learn How to Improvise on Guitar in 30 Days,,1,,,,,1,,,,,
Play Piano 8 - Play Over the Rainbow by Ear & Free Improvise,,,,,,,,,0,,,
The Best Beginner Guitar Course Ever,,,,,,,0,,,,,1
Piano For Singer/Songwriters 2: Pop/Rock Rhythm Immersion,,,1,,1,1,,,,,,1
Guitar: Learn 10 CCR Guitar Chord Progressions,,1,,,,1,1,,,0,1,1
"Play Piano 2:  Play 'Love Me Tender By Ear with 2-5 Chords""",,,,,1,,,,1,,,0
Learn Piano #10 Tritone Chord Substitution with Jazzy Sounds,,,1,,,,,,,,,
Getting Started with Playing Guitar,,,1,,,,,,,,,
Piano Playing: Reading and Playing Classical Tunes Vol.II,,,,,0,,1,,,1,,
Harmonica Jamz: The Only Course on Jammin' with Friends,,0,,,,,,1,0,,,1
Guitar - Learn 10 Legendary Chord Progressions for Guitar,,,,,0,,1,,,,,
Guitar - Blues Guitar for Beginners,,1,,,,,,,,,,
Electric Guitar for Beginners - RockStarter Level 1,,,,1,,,,,0,1,,
The Circle of Fifths for Guitarists,,,,1,,,0,0,,1,,1
Piano Runs & Fills #2: Play Rolling Cascading Runs for Intro,0,,,,0,,,,,,,
Piano - Circle of 5ths to Play A Song in 12 Keys in 12 Days,,1,,,,1,,,,,,
Essential Theory and Technique for Guitar,,,,,,,,,1,,,
Piano for Complete Beginners: Learn your first song today!,,,0,1,,,,,0,,,
Master Class Piano Techniques: Tips To EZ Coordinate 2 Hands,,,1,,,,,,,,,
Master Class # 11:  Play Piano Techniques Learn Piano 1 to10,1,,,,,,,0,,,0,
Learn all Piano Chords in all Piano Scales with logic,,0,,,,,,1,1,1,,0
Learn to play the piano or keyboard from scratch,0,,1,,,,,,,0,,
5 Exotic Guitar Scales and How to Use Them Effectively,,,,0,,,,,,,,0
Learn 4 Chords and Play Thousands of Songs!,,,,,,,0,,,,,
#10 Hand Coordination - Transfer Chord Ballad 9 - C & Bb Key,,0,0,,,,,,,1,,
Acoustic Fingerstyle Guitar Course: Beginner to Advanced,,,,,,,,,,,1,
Guitar Chord Mastery!Turn Your Brain Into A Chord Encyclopia,1,0,,,,,,,,,,
Play Piano 1 Master Class Intro:  Standards 2-5 Power Chords,,1,,,,0,,,,,1,
Best Beginner Guitar Lessons by Sam Lyons,1,,,,,1,1,,,,,
A new approach to piano and playing songs for beginners,1,,,,,,,,0,,,0
Learn Guitar: Zero to Guitar Fingerpicking in 30 days,,,,0,,,,,0,1,,
How to play Contemporary Piano,,,1,,,,,0,,,,
Piano Technique Exercises Vol.1,1,,,,,,,0,,,,
Instant Harmonica - Learning the Basic 12 Bar Blues Bassline,0,,,,,,,,,,0,
#5  Piano Hand Coordination:  Piano Runs in 2 Beats Eb Key,,,,,,1,,,1,,0,
Modern Country Guitar: Technique Booster,,,,,,,,,,0,,1
"Blues Guitar Lessons for Beginners: Chords, Rhythm and Lead",,,,,,0,,1,,,,
#4 Piano Hand Coordination: Fun Piano Runs in 2 Beats C Key,,,1,,,,,1,,,,
3 step formula for playing guitar by ear,,,,,,0,,,0,1,,0
"How to play 'Electric Guitar"",https://www.udemy.com/electric-guitar-beginners-method/,true,50,1105,5,20,Beginner Level,2 hours,2016-12-29T00:24:06Z
42038,Learn Piano Today: How to Play Piano Course in Quick Lessons""",,0,,1,,,,,,1,,
Play Piano by Ear Today! SuperCourse,,,,,,,,,0,,,
Learn to Read & Write Music to play Piano & more instruments,1,0,1,,,1,,,,,,0
The Complete Piano Course - Master The Piano,,,,0,,,,,,,,
Learn to play your favorite guitar songs by ear,,,,,,1,,,,,,
Piano for Singer/Songwriters | Write Songs and Perform Live!,,,,,,,1,,,,,
Fun Beginner Ukulele Course,,,,,,,,,,,,
Learn Guitar in 21 Days,,,,,,,,,0,,,0
Fun Ukulele Strumming Course,0,1,,0,,,,,1,,,
The Professional Bass Masterclass,,,1,,,,,,,,,1
The Allman Brothers Guitar Roots And Techniques,0,,,1,0,,,,,,,1
Blues Guitar Fundamentals,0,,,1,,,0,0,,1,,
#6 Piano Hand Coordination: Play Open 10 Ballad to 9/4 Song,0,,,0,,1,,,,,1,
#7 Piano Hand Coordination: Play Piano Runs in 3 Beats 9/4,,,,1,,0,,1,1,1,0,
Beginner Level Popular Piano Program - Month 1,,,,,,,0,,,,0,
Piano Lessons for the R&B Fan,,,,,,,,0,,,,
Guitar Lessons - Blind Blake - King Of Ragtime Blues Guitar,,,,0,,0,,1,,,,
Darbuka Drumming: Learn how to play the Darbuka Dounbek,,,,0,,,,,,,1,
Awesome Lead Guitar 1,,,,,,,,,1,1,,1
The art of piano improvisation,,,,,,,0,1,,,,
How To Build A Professional Djembe: Create Music Beauty &Biz,,,0,,0,,1,1,,0,,
Advanced Euphonium Studies - Learn to Master the Euphonium!​,,,,,1,0,,,0,,,
Didgeridoo - from zero to HERO! Part Two. Intermediate.,,,,,1,,,,,,,
Fingerstyle Guitar by Jacques Stotzem - Advanced Level,,,,0,,,1,1,,,,0
Trumpet Pro Series - You're going to love practicing Trumpet,,,,,,0,1,,,,,
A Guide to Analog Synths: For the modern EDM enthusiast.,,1,,,1,,1,0,1,,,0
Acoustic Blues Guitar Lessons,,,,,,,1,,,,,1
Accelerate Your Guitar Learning With Metal Techniques,,,,,,,,,,,0,
Beginner Step by Step Keharwa Theka Tabla Course,,1,,0,,,,,0,,,
Just chords Piano: Learn to Play Piano Quickly - No Music,0,0,,,,,,0,,,,1
Play Ukulele Now,0,,,,1,,,,,,1,
Acoustic Blues Guitar Lessons,1,,,1,,1,,1,1,,,
Piano Runs & Fills #1: Play Dreamy Whole Tone Scale Runs,,1,,0,,1,,,,,,
Play Piano Today - Easy Festive Favorites & Piano Party Hits,0,,,,,,0,1,,,,0
The 80/20 Beginner Guitar Course,,,,,,,,,,1,0,
Drums for Beginners,0,,0,0,1,,1,1,,,,
Digital Pianist Course-Learn Piano & Keyboard Fast & Easy,,,,,0,,,,,,,
Learn to play guitar and sing at the same time,1,,0,,,,,,,,,
Introduction to Ukulele 1,,1,,,0,,,,,,,
Learn Flute FAST!,,,,0,,,,,,,,
Guitar Lessons - Soloing With Arpeggios - Essential Guide ,,,,,,,,,,,,
Piano With Willie: Blues n' Boogie Vol. 3,1,1,,1,,,0,,1,1,,
Instant Harmonica - play The Kesh (pt 1) it's easy and fun!,,,,,1,,,,,,0,
Piano Lessons For Beginners: Learn Piano Quickly And Easily,,,,,,,,,,,,
The Easy Beginner Drum Course,,1,,,,,,1,,,,
Instant Harmonica - play Somewhere Over the Rainbow now!,,,,,,,,0,,1,0,
Instant Harmonica - play The Kesh (part 2) - easy and fun!,0,,,,,1,,1,,,,
The 80/20 Guitar: Write Music and Play Guitar in 30 Days,,,,1,1,,0,,,,,
Ukulele 2 : Level 1 KEY OF C AND STRUMS,,,0,,1,,,,,0,,
Guitar for Music Educators: Learning How to Teach Guitar,,,,,,0,,,,,,
Piano Tutorial : Ludovico Einaudi - Una Mattina,1,,1,,,,,,,,,
Guitar Solo - Theory and Improvisation Lessons,,,,1,,,,,,,,
Bluegrass Guitar Essentials: Webisodes 3 & 4,,,,,,,,,0,,,
Instant Harmonica - play Christmas + Birthday songs now!,1,,0,,,,0,,,,,
Blues Master - Advanced Techniques Piano Course,,,0,,,,,,,,1,
Bluegrass Guitar Essentials: Webisodes 5 & 6,,,,,,,0,,,,,
Trombone Lessons For Beginners,,,,,,,,,0,,,
Rhythm to Rock Drum Lesson 6,1,,,,,,,,0,,,
Flute Pro Series - You're about to love practicing the flute,,,,,1,,1,1,,,1,
How To Play Guitar - Everything You Need To Know To Start,,,,,,,,,,,,
Trombone Pro Series - Fall in love with the Trombone,,,,,,,1,,,,,1
Learn How To Play 25 Classic Hip Hop Songs Ch.2,,,1,1,,,,,,,,1
Learn to play tunes by ear on harmonica - no written music,,,,1,,,,,,,,
Fingerpicking for Guitar,,1,,,1,,,,,,,
"Music Theory, Guitar and Ear Training",,,,1,,,0,,1,,,
"Piano Unbound. Piano learning method, a course for beginners",,0,,,,,,,,,,
Advanced Trombone Studies - Learn to Master the Trombone!,0,,,1,,,0,,,1,,0
"Euphonium Solos: Learn to Perform Three Fun, Unique Pieces!",0,,,,,,,,1,,,
Piano With Willie: Tritones & Phat Chords,,,0,,1,,,,,,1,0
Piano for Kids: Developing Your Child's Creative Abilities,,1,,1,,,,,1,,,
Piano Lessons For The Hip Hop Fan,1,,0,1,,,0,,,,,0
French Horn Solos: Learn how to Perform Three Fun Pieces!,1,,0,,,0,,,,,0,0
